RespId,weight,Q29_1,voter_category
470470,0.8951,NA,sporadic
470711,0.8951,NA,sporadic
471374,0.8951,NA,sporadic
471499,0.8951,NA,rarely/never
472216,0.8951,NA,always
472772,0.8951,NA,always
473173,0.8951,NA,always
474244,0.8951,NA,sporadic
474402,0.8951,NA,always
476540,0.8951,NA,always
476814,0.8951,NA,sporadic
481758,0.8951,NA,sporadic
476224,0.896,NA,rarely/never
470422,0.8961,NA,always
470858,0.8961,NA,sporadic
470939,0.8961,NA,sporadic
472062,0.8961,NA,always
472210,0.8961,NA,sporadic
472981,0.8961,NA,always
473092,0.8961,-1,sporadic
474632,0.8961,NA,always
475355,0.8961,NA,always
477634,0.8961,NA,sporadic
476665,0.8964,-1,rarely/never
471594,0.8976,NA,sporadic
474065,0.8976,-1,sporadic
474801,0.8976,NA,sporadic
475886,0.8976,NA,sporadic
475713,0.8979,1,rarely/never
475375,0.8981,1,rarely/never
473292,0.9,-1,sporadic
476347,0.9,-1,sporadic
470981,0.9002,NA,rarely/never
475665,0.9002,NA,always
475952,0.9002,NA,always
477143,0.9005,NA,always
472098,0.9006,NA,always
472532,0.9006,NA,rarely/never
474887,0.9006,NA,always
477049,0.9006,NA,sporadic
476974,0.9011,NA,rarely/never
470485,0.9012,NA,rarely/never
470760,0.9029,NA,sporadic
471330,0.9029,NA,always
473601,0.9029,NA,always
475197,0.9029,-1,rarely/never
475891,0.9029,NA,always
475913,0.9029,NA,sporadic
476087,0.9029,NA,sporadic
476147,0.9029,NA,rarely/never
476445,0.9029,NA,rarely/never
472166,0.9035,NA,sporadic
475613,0.904,NA,always
475747,0.904,NA,sporadic
476061,0.9041,NA,sporadic
477610,0.9041,NA,sporadic
471700,0.9046,NA,sporadic
472244,0.9046,NA,sporadic
473139,0.9046,1,rarely/never
474322,0.9046,NA,sporadic
474465,0.9046,NA,sporadic
474674,0.9046,NA,rarely/never
474702,0.9046,NA,always
474865,0.9046,-1,sporadic
476894,0.9046,NA,sporadic
470932,0.9051,NA,always
471888,0.9051,NA,sporadic
471934,0.9051,NA,always
473223,0.9051,NA,always
473482,0.9051,NA,always
473635,0.9051,NA,sporadic
473942,0.9051,NA,always
474341,0.9051,NA,sporadic
474418,0.9051,NA,always
474558,0.9051,NA,sporadic
480755,0.9051,NA,always
470508,0.9055,NA,always
470650,0.9055,NA,always
473693,0.9055,NA,always
473887,0.9055,NA,sporadic
470030,0.9067,NA,always
470125,0.9067,NA,always
470301,0.9067,NA,sporadic
471624,0.9067,NA,sporadic
471674,0.9067,NA,always
472592,0.9067,NA,sporadic
473161,0.9067,NA,sporadic
